Code,Title,Description
pending,Pending,"This contract has been proposed, but is not yet in force. It may be awaiting signature."
active,Active,"This contract has been signed by all the parties, and is now legally in force."
cancelled,Cancelled,This contract has been cancelled prior to being signed.
terminated,Terminated,"This contract was signed and in force, and has now come to a close. This may be due to successful completion of the contract, or may be early termination due to some non-completion."
