Code,Title,Description
electronicSubmission,Electronic Submission,Bids will be recieved through an electronic procurement platform.
electronicAuction,Electronic Auction,Bids will be recieved through an electronic auction platform.
written,Written,"Bids will be recieved via written documents, delivered as hard copies, via generic e-mail systems, or some similar mechanism."
inPerson,In Person,"Bids will only be recieved if they are hand delivered at the time and place specified in submissionMethodDetails or attached documentation."
